date,review,rating,isEdited,title,userName
2024-02-29 21:02:23,"I’m blessed because every day I can express my feelings and I feel so good when I posted on Facebook I used to be very introvert but these days because of Facebook . I express every day how I feel in the morning and also I follow many pages that motivational writing remind me every day little bit of improving myself. I’m very very grateful to Facebook I always use it as a positive site. I don’t think there is any negative it depends on who and how you using my feedback Facebook saved me from loneliness and still, I’m doing my every day job house task, looking after checking on my friends by children’s. it’s not that I’m doing only Facebook . I’m doing everything and I’m getting energy because early in the morning I express my feelings through Facebook on the page. I said good morning to my friends and for the day what is mine motivation express? It’s so helpful thank you thank you very much.",5,False,Grateful to Facebook,S* 07
2023-12-07 10:05:30,"For a social media website that dominates the online world, I’m amazed at how glitchy the iPhone Facebook app continues to be after years and years. From phantom notifications to the endless random faults in the pages section. The Facebook app often drives me up the wall. Editing events seems to be the worst part, the amount of times, I’ve spent hours writing a carefully thought out description, only for it to suddenly disappear when I go to save has meant that I now have to make sure I always copy text and take extra precautions to make sure all the details on events appear the way they are supposed to. Recently, they gleefully announced changes to the pages section and a profile/page switching option. Not much has changed for the better. All the parts that were glitchy are probably still glitchy. Now I seem to get twice the amount of notifications because I’m notified on both my profile and my pages which is quite annoying. As much as I appreciate Facebook for being a leading social media site, I’m still left feeling there is a lot to be desired about the way the application functions on my phone. It could be so much better! A user friendly simplicity seems to be lacking.
Apart from that, the lack of accountability by the organisation leaves me speechless. Multinational companies like Meta get away with so much!!",3,False,Leaves a lot to be desired…,Mikeleza
2023-04-28 21:35:31,"Please do something about the review system for sellers on Marketplace…at least 1/3 of the sellers are total time wasters or scammers!  You agree to the listing price, confirm the pick up time & address & then they sell to someone else who offers more.  Yesterday I drove for half an hour to pick up something & they messaged me 3 minutes before the organised time to tell me they sold it to someone else who ‘offered more when I told them you were coming’.  I got the message when I was outside her house!  An hour drive there & back and over $10 in tolls for nothing!  Sellers do this all the time & the rating system is completely insufficient to warn buyers about them…& as such there is no reason for them to do the right thing.  There needs to be a comment section where you can write exactly what they have done.  I have also reported someone before for selling a broken robot vac which was conveniently out of battery on pick up…they swore then & afterwards that it was in perfect condition even when I sent a video of the terrible noise it was making as soon as I got home & it had charged.  Nothing gets done when these people are reported!  And your customer service is completely non-existent.  Please do better.",1,False,Marketplace,~:glamgirl:~
2024-05-10 12:37:26,My account has been hacked and compromised. I can’t get back in to it cause the hacker has linked there email so all codes are getting sent to them. This is very stressful and there is no where to help the user. For the biggest online social media and most dominating one you would think they have more to help. I’ve reported and reported as much as I can and yet not one person had gotten back to me. You would think again being the biggest social media and the one that’s been around the longest they would have people to help you. Facebook just sends you around and around. All it does is sends me to created “new password” but add your old one. How can I do this if I’ve been hacked???  The hacker has taken off my mobile so no codes could be sent. I had codes sent to me whilst trying to get back on to Instagram and the scammer has  created dodgey links to send to me. I hate that Facebook brought insta and they had to link them up cause when ones hacked they all are. It’s appalling. Not to mention I had all my accounts turned on with extra protection and these didn’t get sent. So that was a waste of time. FACEBOOK if you could please have the issue resolved that would be great.,1,False,Need to do more to help there users,zararose87
2023-12-19 22:59:09,"Way too many adverts, don’t see my family and friends for adverts, my friends are all taking breaks from fb and when asked why, said sick of only seeing adverts and a waste of time.

Market place is a big issue for me, I post adverts that get stopped and I have no idea why? Is it because I live in the suburb next door 500 m from boundary line of the suburb I posted in? The goods I’m selling are not brand names, not fakes? I’m often sent warnings and no idea why, can’t write in to explain anything etc. I often have rooms to rent because I have pensioner accomodation for disability or seniors but these get pulled down on discrimination to working normal people but I can’t take these people as it’s against my government laws on my houses approvals so I get taken down, have to advertise that it suits these people to attract them to apply. Then I get so many others applying it becomes a nightmare to answer as australia has a big homeless crisis but I can only take certain people but I’m not discriminating it’s my land purpose laws.  I can’t ever put this in writing to get my warnings removed. Facebook should have somewhere for sellers on market place to defend themselves",2,False,Facebook issues,whyiseveryusernamebloodytaken?
2023-01-10 23:08:12,"Hi
I have been having issues with facebook and instagram for months now no one gets back to me and no one has fixed my accounts
A while ago my facebook account was hacked causing my FB and Instagram account to be restricted and my IG closed! I had to gain access back to my account and change my password to get control of my account again. I have messaged facebook numerous times to have them lift the restrictions and give me back my IG account which has yeats and years of photos of my children on it. No one ever reply's or fixes my accounts. You can clearly see by my previous usage that the content that was posted on my accounts was not me also by the fact i had to regain access cause the hackers locked me out! Can someone pls help me and fix the facebook issues i am still having with marketplace and the accounts centre but also give me back my instagram that contains my personal property of my children on it.
Or at least contact me and work with me to fix the problems i am getting very frustrated and upset that thsi has been ongoing now for months and no one seems to want to help but they were real quick in shutting down my accounts with no actual investigation process",1,False,poor service,Get a mew.
2021-05-27 23:24:03,"Facebook sent me what can only be described as a disgusting accusation that I had shared child nudity and/or child sexual exploitation. I cannot tell you how angry I am, as a father of three young children you could not accuse me of anything worse. Then on top of that I get another message saying I have done the same thing for a second time and now I am banned! I have written to Facebook several times trying to find out what exactly I shared that caused this accusation with absolutely no response at all. If I had actually done what they accused me of should they not be contacting the police?? If someone accused me of something as disgusting as this in person, I am not normally a violent person but I would honestly punch them in the nose on the spot. There’s nothing you can do with these faceless cowards, it’s a terrible position to be in and you do feel very helpless and small. I know the information Facebook holds is shared with businesses, authorities and other entities so it just destroys me thinking an allegation like that may be floating around out there. It’s just not good enough and something needs to be done about it. Maybe just delete this app until it can responsibly function.",1,False,Disgusting Accusation with no way to dispute,Bramble1234567743
2024-09-04 06:36:36,"Quite some time ago, I stopped receiving notifications from any sort of post or discussion made in any private events (including my own I have hosted). This in itself was quite disruptive as I mostly use Facebook for private events and keeping up to date with the posts required manual investigation from my part. 

To add onto this inconvenience, quite recently my Events tab on the IOS Facebook App has just disappeared completely. Initially it disappeared from the tab bar, but now it has even disappeared from my app menu. As a result, there is no easy way to access my events whatsoever. The only workaround I can find is to look for an old invite in my notifications, and then navigate to the my events option. This is extremely frustrating and I have tried everything I can do to fix it, which none have worked to date. 

Facebook support options are absolutely useless as well, especially the meta suggestions. Nothing works or is unavailable to use and it seems this is just never going to be fixed. I only really used the app for private events and now its gone theres really no point using this app anymore!",1,False,ISSUE: Events Tab and Notifications,Carl-97dz
2020-10-23 08:52:48,"Before today I would have given 5 stars BUT-
Every time I try logging in on the Facebook app on my phone it comes up with “An unexpected error occurred. Please try logging in again”. I tried deleting and re-downloading the app, turned my phone off and on and it’s still coming up with the unexpected error message. I can only log in on the Facebook website on the internet but then when I try use messenger I get the exact same message “An unexpected error occurred. Please try logging in again”. 
Also when I woke up this morning, my account had been disabled and nothing will tell me what for, or for how long. When I search my name on my sisters account, I cannot find it. So it’s not just disabled but it’s deleted? I’ve been disabled before and this has never happened. I’ve had people asking me why I’ve deleted Facebook when I haven’t, so I’ve had to make a new one. And also my Instagram account that was connected to my Facebook that got disabled, had 300+ photos of my babies that are now gone. I don’t know what’s going on but over the 9 years I’ve had Facebook this has never happened to me. If someone can try retrieve my account back I would really appreciate that...",1,False,Unexpected Error,WhyDoMeLikeThat:(
2024-07-22 00:20:04,"My account was hacked almost two weeks ago and there is no option to speak or get contacted by a human being. Every option you have to explain what is going on gets a response from a bot. I run the social media accounts for my work and have access to there paypal account for advertising and multiple transactions were made by the hackers. They have attached other, what I assume are stolen credit cards to my name and I can't do anything now because I have all these outstanding balances to my name. People run their businesses on Facebook and fraud and money are serious issues, yet Facebook offers no direct support to the businesses that make them the multi billion dollar company that they are. It's been the most stressful two weeks of my life and I feel like my job is on the line. I understand they would get millions of people wanting help, but when it comes to meta business accounts and fraud, they should be offering direct support. The business page cannot move forward until this is resolved and we're just left in limbo with no option to remove the hackers email or the outstanding balances.",1,False,No support for hacked accounts,Chunga82
