date,review,rating,isEdited,userName,title
2022-08-02 04:36:03,"I’m glad to use it. I've never had a problem with instagram personally it's my favourite social media app as I can set out my feed the way I would like it to be presented. However I've noticed after a week when I post a full body picture the quality is amazing at first but a week later it goes blurry and the quality changes. This frustrates me as it's been happening since last year around November/December and I've re uploaded images multiple times and have the same problem. I don't understand why the app does it but there would be no point in posting an image if it turns out blurry a week later. Also the same with Instagram stories 75% of the time they come out blurry when using other techniques to the image. Another issue that's very bothering is having multiple adds pop up a day. The adds have became annoying and usually when I've wanted to find other pages I would go in the search bar area. When you follow so many pages or less, seeing multiple adds come up Especially after a busy day are becoming annoying when search down your feed. If the first issue could be attended to and fixed it would be amazing and helpful to all users who have the same problem and if the adds could be less or just something changed that would be also be helpful.",5,False,ayushi panwar,Photo qualitys for many apps pop ups
2022-12-17 22:59:11,"Whilst Instagram is one of the social media platforms I prefer it does have some annoying features that are absent. The easiest that should be added is an indication next to a persons name as to whether they are one of your followers are not. Such a simple fix and could save a lot of time going through feeds. Another huge change that’s long overdue is the resolution and full screen viewing of photos. Come on already. The app is about sharing photos and we are still stuck with crappy cropped, low resolution photos that you can’t see in full screen. Stop trying to make Instagram what it isn’t with paying more attention to reels and get with what people want it for. Or sit back and watch other apps take over your space.

I add on to my review the number of restrictions Instagram automatically applies to peoples accounts. If you like and follow to many peoples pages (the entire point of Instagram) you get restrictions. If you try to manage your own account and unfollow or block to many people you get restricted. So whilst they make money from your creative content they restrict how you even manage it.",5,False,Madredmini,Needs a total overhaul!!!
2022-07-04 17:05:38,"Hi, I have non epileptic seizures (seizures that mimic epileptic seizures without sending electrical currents through the brain and instead is caused by something functional in the brain). Triggers for these seizures can include ✨strobe lights✨. Lately I have been coming across more and more videos that include strobe lights without the use of flash warnings and I usually comment to politely ask to add a warning however in some cases comments will be disabled or the creator with refuse to put a warning. I know that this isn’t Instagrams fault but I have some ideas to help reduce the risk of seizures from videos containing strobe. 

I feel as if Instagram should add a feature to report videos containing flash to hide the video from photosensitive viewers much like the warnings used for graphic material. This can help protect ourselves from future seizures and flair ups. I know that some people think this might be a dumb request “there aren’t warnings in the real world” “toughen up and get over it” but the thing is that this IS the real world, we can’t get over it because that’s just our life. For some people no flash warnings can be a matter between life or death. You’re playing with peoples lives here. People with seizures have gone through so much trauma, experiencing seizures are terrifying no matter how many you may get. 

Please consider this feature, I’ve had enough of this, and I am so tired. This is so important to us",3,False,Da Pig Luva,Important request
2023-11-26 16:19:24,"My biggest issue with Instagram lately is their application of community guidelines. They seem very inconsistent and biased- strictly following the guidelines with some content but not other similar content, especially when it comes to “political” content... this can greatly affect what content you are allowed to see, comment on, post and share. The “fact check” feature also seems to be bias on particular things.

Reporting content and comments that are not appropriate, especially things regarding bullying and discrimination, or fake/scam accounts pretending to be other people, seems to do very little most of the time, and nothing is usually done about the post/comment you report- only suggesting you block the person you have reported, which doesn’t always fix the issue. The process for reporting things like people stealing your content (copyright infringement) and/or invading your privacy, while generally more effective and successful than the conventional way of reporting things, is also much more difficult- it’s hard to find where and how to send reports directly this way, and is more time consuming. 

The live streams always seem to be glitchy and troublesome, both for the host of the lives and the viewers. Editing reels and stories can also be a pain, with additional features not always loading, things being out of time after uploading, sound playing but the video being frozen, or the app crashing all together and randomly shutting down.",1,False,Watermelon lover 🍉,Glitchy and inconsistent
2019-04-01 12:43:51,"I’ve never had a problem with instagram, personally it’s my favourite social media app as I can set out my feed the way I would like it to be presented. However I’ve noticed after a week when I post a full body picture the quality is amazing at first but a week later it goes blurry and the quality changes. This frustrates me as it’s been happening since last year around November/December and I’ve re uploaded images multiple times and have the same problem. I don’t understand why the app does it but there would be no point in posting an image if it turns out blurry a week later. Also the same with Instagram stories 75% of the time they come out blurry when using other techniques to the image. 
Another issue that’s very bothering is having multiple adds pop up a day. The adds have became annoying and usually when I’ve wanted to find other pages I would go in the search bar area. When you follow so many pages or less, seeing multiple adds come up Especially after a busy day are becoming annoying when search down your feed. 
If the first issue could be attended to and fixed it would be amazing and helpful to all users who have the same problem and if the adds could be less or just something changed that would be also be helpful.",4,False,Guuuueeeesssttt,Photo qualities and too many adds pop ups
2022-05-20 09:21:02,"i honestly love instagram, but the newest update is so awful that i want to rip out my eyeballs and dip them in some cold ice water to ease the pain. 

i understand that the app ‘tiktok’ has created a huge competition, but that doesn’t justify all the social media apps copying them and turning their apps into the same thing. i was fine with reels even though i didnt use them, but when i saw that Instagram wanted to become more video based i knew it was going to go downhill. whats the point of having 5 different social media apps if now they’re all just video applications that fill up your screen? 

instagram was my favorite app to use since it was the most simple, with not many changes and looked refined with the format posting and the dimensions. now with the full screen dimension the colors are just way to contrasting and chaotic. not to mention it doesnt make me want to keep scrolling. the white inbetween the posts on the home page was much better, and i honestly think the new version is atrocious 😄 not to mention, the feed just looks out of place and doesn’t look good. for a multi billion dollar company i was expecting a much more refined and professional media design than what we got. although i understand that this might be a temporary design, i still think that it was muuuuch better before, and many can agree with me.",3,False,iits_becky,horrible update
2023-07-13 16:20:04,"I haven’t been using instagram in like a month and they’re are telling me to verify my email by using codes and phone number too, they have no reason on why to do that since I haven’t used my account for like a month, pretty sure this happen like a few times. Kinda stupid tbh, it’s not like my account is suspicious at all if I haven’t use instagram in a month or so. They said I will have to wait for a day to verify my instagram account, even tho the system knows the codes and which to send the codes to the email attached to the instagram account, I have put the codes on there and there are no errors what so ever, including the phone number. Ain’t no way instagram get suspicious for not using instagram for a long time. Kinda stupid and should be removed as I didn’t share my password to anyone or click any suspicious links that could get my instagram account stolen. Garbage feature to have and it’s super overprotective, can’t even go off instagram for like a month. 💀no reason on why to look to confirm an account as I provided the system codes to verify my email and phone number. Seriously, instagram thinks I have been so suspicious for not being on instagram for a month, I didn’t even rate limit instagram or spam on comments on other posts and haven’t been acting suspicious on my instagram account at all since I haven’t use it for like a month. Next is 5 stars until it gets removed. While this review is at 1 star.",1,False,X9292,Uh What?
2024-08-13 12:08:08,"I have always loved the idea of Instagram. I think the concept, what they have done in the social media sphere is amazing but I think there are ways we could make social media “healthier”. It can be so hard for some people to have social media and not get sucked into a never ending rabbit hole. The results can be that people end up not living their life because hours and hours are spent scrolling, addicted to their phone. I understand social media is a large part of how a lot of people make their income but for many, it is a way to keep in touch with friends and search up new friends, be artistic, post life updates, message and so on. 

I would love to see a function on Instagram in the settings that allows the user (or even parents of kids) to disable the discovery page function. I think it would prevent the endless scrolling you can get sucked into. It would still allow you to search for accounts and friends but you’re not exposed to everything and everyone the algorithm sends your way. I think it would make a huge difference to some users experience on the app, in a positive way. I know it’s something I would benefit from personally and not cause me to delete the app all the time.",4,False,tamsvdh,I like it but we could make it better
2024-05-13 12:45:31,I love this app it is amazing it never let me down until an hour and a half ago. I log out of my account too see if I still have my friends account because he gave it to me ages ago but I don’t and I tried logging back into my account and it said incorrect password even tho it’s correct because I wrote it down I try resetting it in everyway possible and nothing works just comes up with incorrect password I try deleting and reinstalling that didn’t work either I try google and go onto your website and it said youse logged me out because of u usual activity on my account even tho I only have 3 accounts 1 is my private 2nd is my main and 3rd is my boxing acc and I never use my private or boxing account. Thank you for taking your time out of your day for reading but please get my account fixed I haven’t done anything wrong idk how youse can just assume something youse don’t have proof of because I haven’t done anything I am deeply offended I hope youse fix your mistake. My main account is Centralzae so youse can fix it I really appreciate it.,5,False,best one v one map ever,I have a few issues tbh
2019-06-14 08:23:14,"I just put 3 stars for now to get your attention but I’ll fix it later. There has been an annoying bug! I have the creator account which is great. For some messages, I write a reply but it doesn’t get sent when I press the send button and the message disappears from my editor (the part that you write the message in before hitting the send button) and then the message is lost forever! No matter how many more times I try I won’t be able to send a message so I have to exit that specific chat go somewhere else and refresh the app or something or reopen the app and then find that specific message and rewrite everything again. It’s quite frustrating because I receive so many messages so it makes my task harder, because I’ll have to remember that specific IG name (I’ll have to screenshot, my memory isn’t that good lol), if the message is slightly old I have to go to that specific time through my inbox to find the message or I have to find that specific account on IG separately and try to reply to their message and then I have to rewrite the entire message and sometimes the reply can be slightly long. 

Will be wonderful to see this getting fixed, let me know please if you need screenshots or videos or anything. Thank you so much! You guys are amazing! 🙏🙏🙏🙏",3,False,ShirinShirinak,Annoying bug in the inbox
