date,developerResponse,review,rating,isEdited,userName,title
2022-04-27 22:41:12,"{'id': 29511940, 'body': 'Our apologies for any problems you are having. Can you please send us an email to support@myfitnesspal.com for further help? Thanks!', 'modified': '2022-05-02T13:33:02Z'}","I set my macronutrient goals which is great to follow. Hitting my targets within 1-2g variance daily. Only I’ve just realised when I actually click on my carbs for the day I’m not really 1-2g of variance the soo glitches and adjusts my goals so when I think I’m 1g out from my 270 carb target because the app says I am. When clicking into carbs I’m actually 8g over my carb target for the day because the app has changed it for the day. Completely frustrating considering it has threw off all my targets for the week.
UPDATE: I have managed to switch off the setting that automatically adjusts the goals based off your  exercise and daily steps. Problem solved! For anyone else with the same issue go into more-> goals-> scroll to the bottom and click exercise calories -> turn off adjust my calorie goal. 

Changing review to 5 stars",5,False,annoyed0000,Issue with automatically adjusting daily macro goals.
2022-12-05 06:42:10,"{'id': 33572596, 'body': ""Our apologies for any issues you've come across. Please see https://myfitnesspal.zendesk.com/hc/en-us/articles/360032622691-Some-food-information-in-the-database-is-inaccurate.-Can-I-edit-it for more information. Can you please send us an email to https://myfitnesspal.zendesk.com/hc/en-us/requests/new for further help on the other things addressed?"", 'modified': '2022-12-06T18:19:01Z'}","Aside from some inter-app syncing issues (which can usually be fixed without much effort) this is a solid app. Definitely made calorie tracking easy and help me to lose a bunch of weight. My main annoyances are that little consideration has been given to those of us outside the US. The nutritional information on our food is different, and aside from letting us dig through the settings to switch back and forth between cal and kj (why can’t we just toggle between these in the info entry fields?) there are some annoyances when it comes to manually adding new items. For example, if the exact amount of certain nutrients is listed on the packaging, but MFP only accepts % of DI, I have to calculate that before I can add it. Certain nutrients and vitamins there isn’t even an option to add. Etc etc. Also the search function is a bit funky, often it gives too results that are barely similar to what I type, when there are almost identical (or completely identical) results buried way down the list. There’s also no way to correct foods that have incorrect serving sizes. If someone’s added wrong info for that barcode, good luck, you’ll have to make a custom meal and search for it every time. For no good reason other than they don’t care.

I also love how the my gradually remove basic features from the free tier over time instead of fixing the broken features which would compel one to pay for it in the first place.",2,False,dooblyboobly,Almost Very Good
2019-02-15 21:22:20,,"I’ve used MyFitnessPal on and off for several years, both the free and premium version. The only features I used from premium was the “time stamp” and “no ads”.  I’ve reverted back to the free version, because it has everything I need. 

The barcode scanner is great, and if the product isn’t there - you can add it. (Please include everything on the nutritional panel, guys) One thing that would help is if people would check their spelling when adding products to the lists, as these become available to us all and can make searching difficult. 

Absolutely love the recipe and meal features. You can add a favourite family recipe - and it will calculate how many calories per serving. I recommend keeping it to weight/per gram, so you can weigh your portion and get the true caloric value. 

In hindsight, it seems that the best way to get results it is to track your planned food BEFORE you eat. There are some sneaky calories out there!

I’ve recommended the app to several people, I like the diary sharing option (with password) which can help with accountability and partnering on your health journey. 

It can be used in conjunction with many fitness trackers and exercise apps. 

All in all, it’s definitely a worthwhile app to use - both free and premium versions. Give it a go, you won’t regret it.",5,False,DeniseJoy2019,Great app - Definitely get this one!!!
2024-01-08 00:34:44,"{'id': 41182775, 'body': ""We're so happy to hear that you find our app helpful in your health and wellness journey. We pride ourselves on providing a comprehensive database of foods, so you can accomplish your goals. If you have any suggestions or need further assistance, please don't hesitate to let us know by emailing support@myfitnesspal.com. Keep up the great work!"", 'modified': '2024-01-09T16:39:33Z'}","Honestly apps like these where its to keep in track never work for me because that motivation lasted 3 days lol but get yourself a body scale and start a diet that YOU CAN HANDLE!!! And this app is nice. Im for real taking this diet seriously not bc of the app because I can genuinely see the results in the scale, don’t trust your eyes only you all. Unlike ur eyes, the scale tells you the truth and only the truth 😂 so yes not the app but scale, but the app is a nice plus because my diet includes decreasing portion size so this is very nice, and it tells you how many carbs, protein and fat and even more with saturated fats and healthy fats. I’ve learnt a lot and still learning. Thanks app, I’ve been using it for about a week and lost 2kg, on the road to 3kg! (Dont worry I’m losing it healthy, eating all my vegetables and fruits just limiting carbs like bread, milk, obviously junk food too)",5,False,uyubun,I love you fitnesspal
2018-10-06 22:33:32,,"I’ve used this app (the free version) for years now to track macros. It’s been a fantastic tool, has a huge variety of foods in its data base. Is easy to scan and add foods and supplements and I love you can see into your friends food diaries for inspiration meals, ideas and motivation. My only wish is that it would have the option to add or track NET CARBS along with total carbs. I know that this would help a much broader variety of healthy lifestyles who focus on net carbs in there diet. I for one am looking at changing my nutrition to focus on net carbs and unfortunately I think I will be forced to look for another app. Please consider including this in your next update!! MFP is really my preferred go to for tracking and if this was available I would more than likely go premium as it does everything else I want!",5,False,Abcd BFG,Fantastic app- though i would love one extra!
2023-05-11 05:04:39,"{'id': 36489618, 'body': 'Our apologies for any problems you are having with creating recipes, or tracking weight loss. For additional support please visit: https://myfitnesspal.zendesk.com/hc/en-us/requests/new or send an email to support@myfitnesspal.com.', 'modified': '2023-05-12T16:23:07Z'}","I trialled the premium service of this app and cancelled (through the app) before the billing date but for some reason cancelling through the app doesn’t actually work and you need to go to your Apple Store to cancel it…I can honestly say it’s not worth the $130 AUD that it costs and never intended in making the investment but here we are.  

Often when you try to add a new recipe and doesn’t add and you waste your time scanning all ingredients and amending food quantities just for it to not save.  It happens so often that I thought it was a premium service, hence me trialling premium, but it still happens. 

There is also no way to track your weight loss and keep the same macro split/calories - you have to go and do it again if you change your weight.  I get that when you loose weight you should be amending these things, but not when you loose small amounts of weight and track it weekly.",3,False,Heri desu,Not worth paying for the subscription!!
2020-02-25 11:38:22,,"I’ve been using the premium version for a while now, and I think overall the app is very convenient and quick. I especially enjoy the extensive food database, since I rarely need to add my own nutritional info for food. I would however like to suggest a few improvements:
- currently you can add directions to meals but not recipes... which doesn’t make a lot of sense imo (unless I’m missing something here)
- for the dashboard, it would be good to have a few more display options, such as to not show calories or to show % remaining of nutrients 
- I wish net carbs was a thing, since it is easy to over consume fibre when on a calorie deficit, and end up having less calories from carbs and then getting less energy for workouts/day to day activities. It’s also easier to plan macros based on net carbs imo.
This will probably never be read but whatever lol",4,False,ohcomeoniseverynicknametaken,Good app but could use a few improvements
2019-07-07 22:59:38,,"Tracking keeps me honest and accountable. Gives me the leverage to walk away from unhelpful food and to make better choices. Quick entry and copy n paste features make tracking easy. At the end of each day, MFP predicts what my weight might be if every day is like today’s. That’s been a powerful motivator for me. Nutritional breakdowns of food are great for telling me what nutrients I need to eat more or less of. All helps my body feel satisfied. Also links with my exercise app, so exercise downloads automatically to MFP, and I can see the impact of that walk/run.
MFP has been a lifeline to me - given me power and control over my food that I’ve been lacking for a long time. No longer feel powerless and defeated. I’m getting brilliant results!",5,False,1DiamondSky,Effective tool for weight loss/healthier eating
2023-11-30 23:45:41,,"I have used via paid subscription for 2 years plus. I have noticed the app is now buggy and often times slow to respond to inputs. It wasn’t always this way. It consistently crashes on iPhone running the latest iOS. The tech advice is always uninstall and reinstall the app but this doesn’t change the behaviour. There are problems with the program that need to be addressed. Other than that it is good for recording meals, calories and tracking your weight. The community is okay but with eating and weight loss groups you will see a range of views from hard science to fad guru following to more esoteric and extreme examples. There are probably other apps that do the same thing and run better than this one. I turned off my paid subscription because the only paid feature I used was the barcode scanner and also because the app’s performance is not what it once was.",3,False,C P. Perry,Very buggy
2021-10-27 15:11:06,"{'id': 25954887, 'body': 'Thank you for providing this feedback. Our sincere apologies for any problems you are having. We believe this issue should now be fixed. If you are still experiencing this problem, can you please follow the link https://myfitnesspal.zendesk.com/hc/en-us/requests/new or send an email to support@myfitnesspal.com for further help?', 'modified': '2021-10-28T20:06:23Z'}","** reminder issue fixed..
took a long time and removed two stars due to the unprofessionalism of the support team that continually closed the ticket and ignored my responses.. This type of service is poor even for a free user, but for a Premium user is 
Incomprehensible and the worst I’ve experienced in any subscription service.

Been a user since before the days that it was bought out by UA. Ever since then it’s gone down hill and being a Premium user just means no ads and some features. Been having an issue for 6 months and support closes my ticket and refuses to address the issue, and when I reopen it’s always the same song (it’s with the Dev Team). Also the database is pretty off for a lot of the foods, and doesn’t seem to be moderated at all. If you can give it a miss I’d suggest you do so or use free as premium support isn’t very premium at all.",3,False,BananamanOne,"Issue has been fixed recently, support still thumbs down"
