,reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
0,cba77225-5503-4a83-a2a8-914c8ad2d5dc,Fazan Khan,Like and follow Instagram,5,1,331.0.0.37.90,2024-07-31 15:24:51,331.0.0.37.90
1,3ae45d97-6e33-40f0-ae9b-93511ab0e986,N C,All the posts are hidden between unwanted reels. Reported a clip from a black woman saying all white people deserve to die. Didn't violate their policy. Said to Americans that hoarding creates the shortage they worry about. Got ban warning. Has insane automatic scrolling after any clip without the option to disable too,1,44,341.0.0.45.100,2024-07-29 10:34:45,341.0.0.45.100
2,986fd63a-9a4a-48c6-aa7c-28df4214f145,Abhishek Yadav,Abhishek Yadav,5,4,340.0.0.22.109,2024-07-24 23:34:44,340.0.0.22.109
3,8684285f-9e9f-4ad3-a68a-c5a243c7cc22,Tunde Oladupupo,I really love this app and I'm enjoying it,5,2,,2024-07-24 05:58:14,
4,29edd338-7cbe-47c6-a633-222d1115564b,Chocolate ice21,It keeps loading and hiding ppl from my page pls fix this!!!!,2,9,340.0.0.22.109,2024-07-24 05:57:32,340.0.0.22.109
5,23e1f04d-1675-4f1a-89af-3327d6263d15,A Google user,"I wish it were the good old days in which you just went to IG to post photos and look at other people's pics and nothing more. Beware of doom scrolling, this app will get ya every time. Too addictive for me, I only install it on Sunday evenings for an hour these days.",2,11,339.0.0.30.105,2024-07-22 22:57:18,339.0.0.30.105
6,8d8bc6c9-c755-4318-8c9a-3c4624a5fec1,Harsh Pandey,Instagram super app,5,1,,2024-07-19 21:35:01,
7,063acd9d-08c1-4884-b4f7-07102ba48673,Manoj Duvedhi,Best social media app I ever seen,5,3,330.0.0.40.92,2024-07-17 20:22:08,330.0.0.40.92
8,1f133925-28c5-4d5f-994e-31ffcd4cf17b,Omar Allolo,Bad app.,1,19,338.0.0.31.95,2024-07-11 19:21:15,338.0.0.31.95
9,9dc5f9ad-1952-4a85-a7f5-573c671ecf2a,Shivani Kashyap,😋😋😋😋,1,12,339.0.0.30.105,2024-07-11 17:06:50,339.0.0.30.105
10,f42ec7db-6455-47eb-a275-b495a9aca5f4,AmirleoT,good,5,3,290.0.0.13.76,2024-07-11 16:28:56,290.0.0.13.76
11,7a5654a8-1fb2-4b3d-b2db-4a353b8f0e1a,Shriram Gautam,Mm mm ii H HH 7 HH 8i,5,3,337.0.0.35.102,2024-07-11 07:00:11,337.0.0.35.102
12,4c4acb51-3902-4566-929a-97abb6851947,Uday Reddy B L,Worst i can't send the msg to a particular chat the reply thing is only not working i reported many time but no response at all...,2,26,337.0.0.35.102,2024-07-11 02:59:08,337.0.0.35.102
13,e0cd0646-24b6-47d0-9822-d19d38efb5cf,Sirohi Sirohi Sirohi,Good Good Good 👍 👌 👏 😌,5,1,329.0.0.41.93,2024-07-11 02:58:47,329.0.0.41.93
14,755c5c05-b809-488b-bc48-b86c752a4366,Tushara Sahu,I love instagram 🤷💙🤷,5,2,338.0.0.31.95,2024-07-11 02:58:25,338.0.0.31.95
15,29555ff3-4dcd-49d9-b546-9db23549b3e2,Anil Kumar Raina,This is best,5,1,,2024-07-11 02:58:04,
16,01175d2e-50d5-43ea-b22b-94b0f1c6c352,Reshma Rimi,Good,5,1,339.0.0.30.105,2024-07-11 02:57:57,339.0.0.30.105
17,2406a12c-83fe-4a79-8ff7-43eb944cfda5,Timli lover Timli,This Is Nice App❤,5,7,,2024-07-11 02:57:52,
18,a057b626-804c-4205-874d-9285ee20826a,SHIVAM KUMAR,"Ghatiya app he jabse install kiya hai kisi ne bhi reply nahi kiya ,,,, don't install the app,,,,, please,,,,,,",1,10,339.0.0.30.105,2024-07-11 02:57:49,339.0.0.30.105
19,36076a7e-f592-412b-bc76-59334f834773,resham dagde,Good,5,1,,2024-07-11 02:57:39,
20,763be30d-9575-43fd-a568-405a30642c6c,SENPAI Max15,So beautiful so alligate just looking like a 😳 wow,5,3,,2024-07-11 02:57:28,
21,e3ae73b8-498c-4b52-9573-5de27a51abbc,Srishailam Yalam,Supper,5,1,338.0.0.31.95,2024-07-11 02:57:28,338.0.0.31.95
22,2f12820c-ab26-4830-a39f-3c46317b20a0,Romeo Mj,🤮,2,4,339.0.0.30.105,2024-07-11 02:57:19,339.0.0.30.105
23,129690b6-42ce-4488-bd3a-f784e770596c,Family Friends,Superb it is the dad of tiktok,5,2,,2024-07-11 02:57:16,
24,d05b8391-b09e-43cd-a56e-4a3c637aad92,Android Walkthrough Gaming,"Its Such a Good App But I Am Facing Some problems while using it like recently a lot of irritating Glitches and Bugs have occurred on my Instagram and yesterday another problem basically I can't send any messages to my friend even though my network is fine it's says ""sending"" and it's been more then 7 hours So pls help me fix this issue And Can You Pls Update The Calling System in the App 😭pls add a Reminder 🤌🏻",4,7,,2024-07-11 02:56:54,
25,a0bd1167-f3bd-4f14-875d-179a1addde02,Ayush Sharma,😂,1,1,333.0.0.42.91,2024-07-11 02:56:47,333.0.0.42.91
26,642a264f-0f6f-4012-8af4-838d00d1c6bd,Krish King,Jai shree ram 💖,5,2,,2024-07-11 02:56:42,
27,7d9ccdba-9a27-4ffa-9ca9-dd27c36ea00d,Chandu Chandu,🥰♥️,5,1,334.0.0.42.95,2024-07-11 02:56:11,334.0.0.42.95
